month,sales_mkwh,state,sector,consumers,price,revenue,use_per_capita,region,cooling_days,heating_days,COM,RES,time,year,mon,season,date,num_days,num_hols,pct_weekdays,y,hot,cold,wind
202105,2191.98207,AL,RES,2299125.0,13.54,29679.437227799997,953.3983885173708,ESC,109.41960715,81.650517691,0,1,161,2021,5,spring,2021-05-01,31,11,0.6451612903225806,30.7547867263668,0.15384615384615385,0.0,6.3076923076923075
202104,1978.04896,AL,RES,2294478.0,13.73,27158.6122208,862.0910551332373,ESC,17.744106362,232.58156216,0,1,160,2021,4,spring,2021-04-01,30,8,0.7333333333333334,28.736368504441245,0.0,3.0,5.0
202103,2321.97408,AL,RES,2295326.0,13.35,30998.353968,1011.6097146984786,ESC,33.840873047,339.10445328,0,1,159,2021,3,spring,2021-03-01,31,8,0.7419354838709677,32.632571441886405,0.0,0.0,10.0
202102,2906.25268,AL,RES,2247306.0,12.99,37752.2223132,1293.2162687235293,ESC,0.8175660767,718.89175877,0,1,158,2021,2,winter,2021-02-01,28,9,0.6785714285714286,46.186295311554616,0.0,12.0,1.0
202101,3164.80449,AL,RES,2284207.0,12.38,39180.279586200006,1385.515625335182,ESC,5.6223695632,736.64273807,0,1,157,2021,1,winter,2021-01-01,31,12,0.6129032258064516,44.69405243016716,0.0,2.0,0.0
202012,2992.76542,AL,RES,2326166.0,11.39,34087.598133800006,1286.5657137108874,ESC,1.1250235839,726.74005869,0,1,156,2020,12,winter,2020-12-01,31,9,0.7096774193548387,41.5021197971254,0.0,0.0,3.0
202011,2056.87325,AL,RES,2324212.0,12.99,26718.7835175,884.9766071253397,ESC,12.530245465,343.66145505,0,1,155,2020,11,fall,2020-11-01,30,11,0.6333333333333333,29.499220237511324,0.0,3.0,2.0
202010,2150.98005,AL,RES,2326554.0,13.17,28328.407258500003,924.5347625715973,ESC,66.449030769,156.04066222,0,1,154,2020,10,fall,2020-10-01,31,10,0.6774193548387097,29.823702018438624,0.0,0.0,6.0
202009,2876.36566,AL,RES,2325509.0,13.18,37910.4993988,1236.875737741716,ESC,209.28122605,20.076364462,0,1,153,2020,9,fall,2020-09-01,30,9,0.7,41.2291912580572,0.0,0.0,3.0
202008,3568.6379,AL,RES,2322835.0,12.75,45500.133225000005,1536.328624288854,ESC,386.52059753,0.0,0,1,152,2020,8,summer,2020-08-01,31,10,0.6774193548387097,49.55898788028561,0.0,0.0,11.0
202007,3587.72858,AL,RES,2319406.0,12.68,45492.3983944,1546.8307747759557,ESC,461.43269551,0.0,0,1,151,2020,7,summer,2020-07-01,31,9,0.7096774193548387,49.89776692825664,3.0,0.0,9.0
202006,2912.11315,AL,RES,2314926.0,12.92,37624.501898,1257.9724578669038,ESC,296.32450613,2.7012712184,0,1,150,2020,6,summer,2020-06-01,30,8,0.7333333333333334,41.93241526223013,0.0,0.0,13.0
202005,2295.16194,AL,RES,2298770.0,12.68,29102.6533992,998.4304388868829,ESC,106.56407013,86.197964013,0,1,149,2020,5,spring,2020-05-01,31,11,0.6451612903225806,32.207433512480094,0.0,0.0,6.0
202004,1975.84717,AL,RES,2303199.0,12.87,25429.1530779,857.8708005691215,ESC,20.730875733,247.90326238,0,1,148,2020,4,spring,2020-04-01,30,8,0.7333333333333334,28.59569335230405,0.0,1.0,14.0
202003,2203.34259,AL,RES,2300240.0,12.76,28114.651448400004,957.875086947449,ESC,55.873847126,293.3751922,0,1,147,2020,3,spring,2020-03-01,31,9,0.7096774193548387,30.899196353143516,0.0,0.0,7.0
202002,2505.68602,AL,RES,2292648.0,12.39,31045.449787800004,1092.9222540922112,ESC,4.462347603,553.97034947,0,1,146,2020,2,winter,2020-02-01,29,10,0.6551724137931034,37.68697427904176,0.0,3.0,5.0
202001,2707.11531,AL,RES,2292782.0,12.38,33514.087537800006,1180.71203891168,ESC,13.019273768,634.53500698,0,1,145,2020,1,winter,2020-01-01,31,10,0.6774193548387097,38.08748512618323,0.0,0.0,7.0
